,index,Text,Prediction
0,0,I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,
1,1,Oh and I forgot to also mention the weird color effect it has on your phone.,
2,2,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",
3,3,Better than you'd expect.,
4,4,This is a great little item.,
5,5,"Nice case, feels good in your hands.",
6,6,Do not make the same mistake as me.,
7,7,However I needed some better instructions.,
8,8,Nice design and quality.,
9,9,It was a waste of my money.,
10,10,"This is an excellent tool, especially when paired with your phone's auto-answer.",
11,11,This is essentially a communications tool that does not communicate.,
12,12,How stupid is that?,
13,13,The phone is sturdy and waterproof.,
14,14,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,
15,15,What a big waste of time.,
16,16,"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",
17,17,"bad fit, way too big.",
18,18,"You can not answer calls with the unit, never worked once!",
19,19,You won't regret it!,
20,20,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,
21,21,The commercials are the most misleading.,
22,22,I don't think it would hold it too securly on your belt.,
23,23,This is cool because most cases are just open there allowing the screen to get all scratched up.,
24,24,Great sound and service.,
25,25,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,
26,26,Does not fit.,
27,27,I have two more years left in this contract and I hate this phone.,
28,28,It is so small and you don't even realize that it is there after a while of getting used to it.,
29,29,"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",
30,30,Battery is holding up well.,
31,31,best bluetooth on the market.,
32,32,"but it is great, i would really recommend it",
33,33,Jawbone Era is awesome too!,
34,34,I've bought $5 wired headphones that sound better than these.,
35,35,I bought it for my mother and she had a problem with the battery.,
36,36,This case seems well made.,
37,37,I love the look and feel of Samsung flipphones.,
38,38,"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",
39,39,I ended up sliding it on the edge of my pants or back pockets instead.,
40,40,Seller shipped quickly and much cheaper than the competitors.,
41,41,This phone tries very hard to do everything but fails at it's very ability to be a phone.,
42,42,It has kept up very well.,
43,43,Love this product.,
44,44,Due to this happening on every call I was forced to stop using this headset.,
45,45,"When it opens, the battery connection is broken and the device is turned off.",
46,46,It defeats the purpose of a bluetooth headset.,
47,47,"I have only had it for a few weeks, but so far, so good.",
48,48,"The seller is very understanding and patient, I would definitely buy from them again.",
49,49,Price is good too.,
50,50,"Perhaps my phone is defective, but people cannot hear me when I use this.",
51,51,It looks very nice.,
52,52,"The biggest complaint I have is, the battery drains superfast.",
53,53,This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,
54,54,Everything about it is fine and reasonable for the price i.e.,
55,55,Trying to make a call on these is an exercise in frustration.,
56,56,Yes it's shiny on front side - and I love it!,
57,57,Great phone!.,
58,58,Nice docking station for home or work.,
59,59,Works great.,
60,60,It didn't charge for me.,
61,61,"I have had this phone for over a year now, and I will tell you, its not that great.",
62,62,"I've only had my bluetooth for a few weeks, but I really like it.",
63,63,This BlueAnt Supertooth hands-free phone speaker is AWESOME.,
64,64,Improper description.... I had to return it.,
65,65,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,
66,66,The picture resolution is far below what other comparably-priced phones are offering today.,
67,67,"However, the keypads are so tinny that I sometimes reach the wrong buttons.",
68,68,"Small, sleek, impressive looking, practical setup with ample storage in place.",
69,69,"After 3 months, screen just went black all of a sudden.",
70,70,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,
71,71,Virgin Wireless rocks and so does this cheap little phone!,
72,72,I would highly recommend this product.,
73,73,Good price.,
74,74,I'm a bit disappointed.,
75,75,Great for using with your home stereo.,
76,76,These are fabulous!,
77,77,"Bought mainly for the charger, which broke soon after purchasing.",
78,78,disappointing.,
79,79,I own 2 of these cases and would order another.,
80,80,Great for the jawbone.,
81,81,"Looks good in the picture, but this case was a huge disappointment!!",
82,82,I can't use this case because the smell is disgusting.,
83,83,Terrible.. My car will not accept this cassette.,
84,84,They work about 2 weeks then break.,
85,85,lightweight and works well.,
86,86,I am going to have to be the first to negatively review this product.,
87,87,i would advise to not purchase this item it never worked very well.,
88,88,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,
89,89,This frog phone charm is adorable and very eye catching.,
90,90,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",
91,91,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,
92,92,This is a great deal.,
93,93,One of my favorite purchases ever.,
94,94,Terrible phone holder.,
95,95,You have to hold the phone at a particular angle for the other party to hear you clearly.,
96,96,Excellent product.,
97,97,I have yet to run this new battery below two bars and that's three days without charging.,
98,98,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",
99,99,I have always used corded headsets and the freedom from the wireless is very helpful.,
100,100,Can't upload ringtones from a third party.,
101,101,"I went on Motorola's website and followed all directions, but could not get it to pair again.",
102,102,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,
103,103,"horrible, had to switch 3 times.",
104,104,You get what you pay for I guess.,
105,105,"Saggy, floppy piece of junk.",
106,106,Don't waste your money!.,
107,107,Great Hands Free Device.,
108,108,Superb Phone on a Great Network.,
109,109,you could only take 2 videos at a time and the quality was very poor.,
110,110,(It works!),
111,111,the charger worked for about a week and then completely stopped charging my phone.,
112,112,I'm happy about this purchase- good quality and low price.,
113,113,the phone was unusable and was not new.,
114,114,WELL IM SATISFIED.,
115,115,Works for me.,
116,116,The nokia CA-42 USB cable did not work with my phone.,
117,117,Very pleased with this headset.,
118,118,Good Quality.,
119,119,Not loud enough and doesn't turn on like it should.,
120,120,T-Mobile has the best customer service anywhere.,
121,121,I'm really disappointed all I have now is a charger that doesn't work.,
122,122,Also difficult to put on.I'd recommend avoiding this product.,
123,123,Excellent starter wireless headset.,
124,124,I am very happy,
125,125,Worst software ever used.... If I could give this zero stars I would.,
126,126,All three broke within two months of use.,
127,127,"Not only will it drain your player, but may also potentially fry it.",
128,128,"All in all, I'd expected a better consumer experience from Motorola.",
129,129,Thanks again to Amazon for having the things I need for a good price!,
130,130,"It didn't work, people can not hear me when I talk.",
131,131,Excellent Phone.,
132,132,Poor Construction.,
133,133,"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",
134,134,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,
135,135,I have had mine for about a year and this Christmas I bought some for the rest of the family.,
136,136,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,
137,137,Great Phone.,
138,138,"The microphone also works well, but (according to people I have called) it applifies everything.",
139,139,Would recommend this item.,
140,140,I gave it 5 stars because of the sound quality.,
141,141,Essentially you can forget Microsoft's tech support.,
142,142,It worked very well.,
143,143,I wasted my little money with this earpiece.,
144,144,Plantronics Bluetooth Excelent Buy.,
145,145,"Then I exchanged for the same phone, even that had the same problem.",
146,146,"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",
147,147,The replacement died in a few weeks.,
148,148,Display is excellent and camera is as good as any from that year.,
149,149,2 thumbs up to this seller,
150,150,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,
151,151,Incredible!.,
152,152,Product was excellent and works better than the verizon one and Boy was it cheaper!,
153,153,It definitely was not as good as my S11.,
154,154,Very satisifed with that.,
155,155,The worst piece of crap ever along with the Verizon customer service.,
156,156,disappointed.,
157,157,The only thing that I think could improve is the sound leaks out from the headset.,
158,158,"What possesed me to get this junk, I have no idea...",
159,159,Works great!.,
160,160,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,
161,161,You'll love how thin it is.,
162,162,The first thing that happened was that the tracking was off.,
163,163,The case is great and works fine with the 680.,
164,164,It was quite comfortable in the ear.,
165,165,"Provides good protection and looks classy, too.",
166,166,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",
167,167,Problem is that the ear loops are made of weak material and break easily.,
168,168,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,
169,169,I have to jiggle the plug to get it to line up right to get decent volume.,
170,170,I am not impressed with this and i would not recommend this item to anyone.,
171,171,"Great price, too!",
172,172,Razr Battery - Good buy.,
173,173,My headset works just peachy-keen.,
174,174,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",
175,175,Keep up the good work Amazon!!,
176,176,It is unusable in a moving car at freeway speed.,
177,177,Sending it back.,
178,178,"This is a good battery, and it got here really fast.",
179,179,"every thing on phone work perfectly, she like it.",
180,180,"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",
181,181,Could not get strong enough signal.,
182,182,Don't make the same mistake I did.,
183,183,Great product and price.,
184,184,We have gotten a lot of compliments on it.,
185,185,Freezes frequently4.,
186,186,"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",
187,187,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",
188,188,Great Value.,
189,189,"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",
190,190,"Horrible, horrible protector.",
191,191,Same problem as others have mentioned.,
192,192,"Obviously they have a terrible customer service, so you get what you pay for.",
193,193,"It's fits like a glove and is strong, secure, and durable.",
194,194,Not impressed.,
195,195,"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",
196,196,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,
197,197,"I have this phone and it is a thorn in my side, I really abhor it.",
198,198,Works well.,
199,199,"I didn't want the clip going over the top of my ear, causing discomfort.",
200,200,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",
201,201,The shipping time was also very quick!,
202,202,Really pleased with this product so far.,
203,203,Headset works great & was packaged nicely to avoid any damage.,
204,204,The iGo chargers and tips are really great.,
205,205,Don't trust their website and don't expect any helpful support.,
206,206,Great for iPODs too.,
207,207,"The look of it is very sharp and the screen is nice and clear, with great graphics.",
208,208,"None of it works, just don't buy it.",
209,209,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,
210,210,awesome device.,
211,211,Buyer--Be Very Careful!!!!!.,
212,212,Great product for the price!.,
213,213,These products cover up the important light sensor above the ear outlet.,
214,214,Mobile Phone Tools are a must have.,
215,215,It's not what it says it is.,
216,216,im surprised this is a good quality car charger and there's not much reviews about it.,
217,217,Very Displeased.,
218,218,I purcashed this for the car charger and it does not work.,
219,219,"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",
220,220,Worst customer service.,
221,221,Thank you for such great service.,
222,222,"Five star Plus, plus.",
223,223,After receiving and using the product for just 2 days it broke.,
224,224,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",
225,225,The buttons for on and off are bad.,
226,226,The instruction manual is lacking.,
227,227,I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,
228,228,It's pretty easy.,
229,229,So Far So Good!.,
230,230,Obviously there is a problem with the adhesive.,
231,231,"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",
232,232,I love this cable - it allows me to connect any mini-USB device to my PC.,
233,233,"This item worked great, but it broke after 6 months of use.",
234,234,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",
235,235,I wouldn't recommend buying this product.,
236,236,I was not impressed by this product.,
237,237,Great audio!.,
238,238,This is a beautiful phone.,
239,239,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",
240,240,"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",
241,241,This product is ideal for people like me whose ears are very sensitive.,
242,242,Good audio quality.,
243,243,Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,
244,244,"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",
245,245,Very good quality though,
246,246,"However, the ear pads come off easily and after only one week I lost one.",
247,247,Does not work for listening to music with the cingular 8125.,
248,248,"I really recommend this faceplates since it looks very nice, elegant and cool.",
249,249,The pleather case doesn't fit.,
250,250,AMAZON SUCKS.,
251,251,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",
252,252,If you are Razr owner...you must have this!,
253,253,It's a great item.,
254,254,Sprint charges for this service.,
255,255,Not a good bargain.,
256,256,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,
257,257,Talk about USELESS customer service.,
258,258,This one works and was priced right.,
259,259,This phone might well be the worst I've ever had in any brand.,
260,260,"It is cheap, and it feel and look just as cheap.",
261,261,i got this phone around the end of may and i'm completely unhappy with it.,
262,262,This is the first phone I've had that has been so cheaply made.,
263,263,Low Quality.,
264,264,This is definitely a must have if your state does not allow cell phone usage while driving.,
265,265,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,
266,266,That company is a joke.,
267,267,"I only used it two days, and it wasn't always easy to hear with.",
268,268,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,
269,269,Excellent bluetooth headset.,
270,270,Buy a different phone - but not this.,
271,271,"useless phone, simply deaf.",
